;hh_number;factor;income;hh_structure;education;domicile_size;age;age_cat
1;11016;1242;26649.78;nuclear;Secundaria completa;<2500;50;45-54
2;11026;856;18598.91;nuclear;Secundaria completa;>100000;28;25-34
3;11028;856;22912.06;ampliado;Primaria incompleta;>100000;88;>=75
4;11031;856;28023;ampliado;Primaria incompleta;>100000;57;55-64
5;11032;856;32859.72;nuclear;Secundaria completa;>100000;34;25-34
6;12006;853;8620.17;ampliado;Primaria completa;<2500;59;55-64
7;12008;853;59458.75;nuclear;Profesional completa;<2500;56;55-64
8;12011;957;125343.22;nuclear;Profesional completa;<2500;55;55-64
9;12017;997;14266.11;unipersonal;Primaria completa;<2500;70;65-74
10;12025;398;18226.31;nuclear;Primaria completa;2500-15000;30;25-34
11;13002;944;9489.72;unipersonal;Primaria completa;<2500;73;65-74
12;13017;1014;36456.56;nuclear;Secundaria completa;<2500;43;35-44
13;13022;819;6573.51;nuclear;Primaria incompleta;>100000;65;65-74
14;13039;166;39077.93;nuclear;Secundaria completa;2500-15000;21;<25
15;14017;1372;117981.26;nuclear;Profesional completa;<2500;43;35-44
16;14018;1372;104414.67;nuclear;Secundaria completa;<2500;44;35-44
17;14023;1137;951537.04;ampliado;Preparatoria incompleta;<2500;32;25-34
18;14026;819;15123.02;nuclear;Primaria incompleta;>100000;40;35-44
19;14028;819;26722.36;nuclear;Secundaria completa;>100000;38;35-44
20;14038;166;55277.13;nuclear;Secundaria completa;2500-15000;29;25-34
21;15006;907;31435.35;nuclear;Profesional incompleta;<2500;27;25-34
22;15017;1033;72500.84;nuclear;Profesional completa;<2500;50;45-54
23;15018;1033;31958.89;nuclear;Profesional completa;<2500;55;55-64
24;15023;757;44921.89;ampliado;Primaria completa;>100000;56;55-64
25;15027;757;52161.82;nuclear;Secundaria completa;>100000;30;25-34
26;15028;757;17433.48;nuclear;Primaria incompleta;>100000;35;35-44
27;15029;757;7584.65;nuclear;Secundaria completa;>100000;29;25-34
28;15032;1419;201968.11;nuclear;Profesional incompleta;2500-15000;42;35-44
29;16001;950;30045.57;nuclear;Secundaria completa;<2500;34;25-34
30;16012;1039;8102.12;unipersonal;Primaria completa;<2500;56;55-64
31;16016;940;14288.82;nuclear;Primaria completa;<2500;27;25-34
32;16021;398;8907.29;ampliado;Primaria incompleta;2500-15000;47;45-54
33;16023;398;17447.36;nuclear;Sin instruccion;2500-15000;53;45-54
34;16024;398;32302.66;nuclear;Secundaria completa;2500-15000;43;35-44
35;16033;165;43614.4;nuclear;Primaria completa;>100000;48;45-54
36;16037;165;16409.51;nuclear;Primaria completa;>100000;46;45-54
37;16040;165;10027.25;nuclear;Primaria incompleta;>100000;30;25-34
38;17007;1045;77247.21;nuclear;Secundaria completa;<2500;46;45-54
